,cls,codec,codec_path,is_raw,source,source_len,source_affix,source_entropy,input_len,input_entropy,bps,size,K,O,S,symbol_p_threshold,original_source
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0473705_ON_Source_Laplacian_16symbols_entropy0.0473705,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0473705,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0473705.zip,False,Source_Laplacian_16symbols_entropy0.0473705,16,Laplacian,0.04737052598430654,131072,0.04774376181035555,0.0999755859375,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0526335_ON_Source_Laplacian_16symbols_entropy0.0526335,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0526335,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0526335.zip,False,Source_Laplacian_16symbols_entropy0.0526335,16,Laplacian,0.05263347401419834,131072,0.052997792141748726,0.109375,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0578964_ON_Source_Laplacian_16symbols_entropy0.0578964,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0578964,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0578964.zip,False,Source_Laplacian_16symbols_entropy0.0578964,16,Laplacian,0.057896420749471544,131072,0.05824358716042739,0.119384765625,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0631594_ON_Source_Laplacian_16symbols_entropy0.0631594,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0631594,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0631594.zip,False,Source_Laplacian_16symbols_entropy0.0631594,16,Laplacian,0.06315936866063862,131072,0.063540300039374,0.1292724609375,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0684223_ON_Source_Laplacian_16symbols_entropy0.0684223,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0684223,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0684223.zip,False,Source_Laplacian_16symbols_entropy0.0684223,16,Laplacian,0.06842231594751078,131072,0.06878529179954722,0.13970947265625,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0736853_ON_Source_Laplacian_16symbols_entropy0.0736853,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0736853,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0736853.zip,False,Source_Laplacian_16symbols_entropy0.0736853,16,Laplacian,0.07368526290678006,131072,0.07408755351079094,0.150146484375,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0789482_ON_Source_Laplacian_16symbols_entropy0.0789482,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0789482,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0789482.zip,False,Source_Laplacian_16symbols_entropy0.0789482,16,Laplacian,0.07894821012645409,131072,0.07924412786173834,0.16168212890625,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0842112_ON_Source_Laplacian_16symbols_entropy0.0842112,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0842112,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0842112.zip,False,Source_Laplacian_16symbols_entropy0.0842112,16,Laplacian,0.08421115780788052,131072,0.08465623915367056,0.17303466796875,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0894741_ON_Source_Laplacian_16symbols_entropy0.0894741,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0894741,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0894741.zip,False,Source_Laplacian_16symbols_entropy0.0894741,16,Laplacian,0.08947410527957678,131072,0.08999016895885646,0.18450927734375,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0947371_ON_Source_Laplacian_16symbols_entropy0.0947371,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0947371,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0947371.zip,False,Source_Laplacian_16symbols_entropy0.0947371,16,Laplacian,0.0947370529170935,131072,0.09519160424851658,0.196533203125,256.0,,,,,
